LEVEL	CODE	version	NATIONAL_TITLE_BE_NL	NATIONAL_TITLE_BE_FR	NATIONAL_TITLE_BE_DE	NATIONAL_TITLE_BE_EN
7	01.11001	2025	Graanteelt (m.u.v. rijst) : harde tarwe, zachte tarwe, rogge, gerst, haver, maïs, enz.	Culture de céréales (à l'exception du riz) : blé dur, blé tendre, seigle, orge, avoine, maïs, etc.	Anbau von Getreide (ohne Reis): Hartweizen, Weichweizen, Roggen, Gerste, Hafer, Mais usw.	Cereal cultivation (except rice) : hard wheat, soft wheat, rye, barley, oats, maize, etc.
7	01.11002	2025	Teelt van oliehoudende zaden en van peulvruchten  : aardnoten, sojabonen, koolzaad, enz.	Culture de graines oléagineuses et de légumineuses : arachides, fèves de soja, fèves de colza, etc	Anbau von Ölsaaten und Hülsenfrüchten: Erdnüsse, Sojabohnen, Raps usw	Growing of oil seeds and leguminous crops : groundnuts, soya beans, rapeseeds, etc
7	01.11003	2025	Teelt van drooggeoogste zaden van peulvruchten zoals erwten en bonen	Culture de légumes à cosse secs tels que pois fourragers et haricots	Anbau von trockenen ausgelösten Hülsenfrüchten wie Futtererbsen und Bohnen	Growing of dried leguminous vegetables such as feed peas and beans
7	01.11004	2025	Teelt van zaaigranen	Production de semences céréalières	Anbau von Getreidesamen	Growing of cereal seeds
7	01.11005	2025	Teelt, n.e.g.	Cultures n.c.a.	Ackerkulturen a.n.g.	Crops n.e.c.
4	01.12	2025	Teelt van rijst	Culture du riz	Anbau von Reis	Growing of rice
5	01.120	2025	Teelt van rijst	Culture du riz	Anbau von Reis	Growing of rice
4	01.13	2025	Teelt van groenten, meloenen en wortel- en knolgewassen	Culture de légumes, de melons, de racines et de tubercules	Anbau von Gemüse und Melonen sowie Wurzeln und Knollen	Growing of vegetables and melons, roots and tubers
5	01.130	2025	Teelt van groenten, meloenen en wortel- en knolgewassen	Culture de légumes, de melons, de racines et de tubercules	Anbau von Gemüse und Melonen sowie Wurzeln und Knollen	Growing of vegetables and melons, roots and tubers
7	01.13001	2025	Teelt van paddestoelen en truffels	Culture des champignons et des truffes	Anbau von Pilzen und Trüffeln	Growing of mushrooms and truffles
7	01.13002	2025	Teelt van zaai- en plantgoed voor de groenteteelt	Production de semences de légumes	Anbau von Gemüsesamen	Production of vegetable seeds
7	01.13003	2025	Aardappelteelt	Culture de pommes de terre	Kartoffelanbau	Growing of potatoes
7	01.13004	2025	Teelt van wortels en knollen met een hoog zetmeel- of inulinegehalte	Culture de racines et de tubercules à forte teneur en amidon ou en inuline	Anbau von Wurzeln und Knollen mit hohem Stärke- und Inulingehalt	Growing of roots and tubers  with a high grade of starch or inulin
4	01.14	2025	Teelt van suikerriet	Culture de la canne à sucre	Anbau von Zuckerrohr	Growing of sugar cane
5	01.140	2025	Teelt van suikerriet	Culture de la canne à sucre	Anbau von Zuckerrohr	Growing of sugar cane
4	01.15	2025	Teelt van tabak	Culture du tabac	Anbau von Tabak	Growing of tobacco
5	01.150	2025	Teelt van tabak	Culture du tabac	Anbau von Tabak	Growing of tobacco
4	01.16	2025	Teelt van vezelgewassen	Culture de plantes à fibres	Anbau von Faserpflanzen	Growing of fibre crops
5	01.160	2025	Teelt van vezelgewassen	Culture de plantes à fibres	Anbau von Faserpflanzen	Growing of fibre crops
4	01.19	2025	Teelt van andere eenjarige gewassen	Autres cultures non permanentes	Anbau von sonstigen ein- und zweijährigen Pflanzen	Growing of other non-perennial crops
5	01.191	2025	Teelt van bloemen	Culture de fleurs	Blumenbau	Growing of flowers
7	01.19101	2025	Teelt van bloemen en snijbloemen	Culture de fleurs et de fleurs à couper	Anbau von Blumen und Schnittblumen	Growing of flowers and of cut flowers
7	01.19102	2025	Vervaardiging van gedroogde bloemen	Fabrication de fleurs séchées	Herstellung getrockneter Blumen	Manufacture of dried flowers
7	01.19103	2025	Teelt van zaai- en plantgoed voor de bloementeelt	Production de semences de fleurs	Produktion von Blumensaatgut	Production of flower seeds
5	01.199	2025	Teelt van andere eenjarige gewassen, n.e.g.	Autres cultures non permanentes n.c.a.	Sonstiger Anbau einjähriger Pflanzen a.n.g.	Growing of other non-perennial crops n.e.c.
3	01.2	2025	Teelt van meerjarige gewassen	Cultures permanentes	Anbau mehrjähriger Pflanzen	Growing of perennial crops
4	01.21	2025	Teelt van druiven	Culture de la vigne	Anbau von Wein- und Tafeltrauben	Growing of grapes
5	01.210	2025	Teelt van druiven	Culture de la vigne	Anbau von Wein- und Tafeltrauben	Growing of grapes
7	01.21001	2025	Teelt van wijn- en tafeldruiven	Culture de raisins de cuve et de raisins de table	Anbau von Wein- und Tafeltrauben	Growing of wine grapes and table grapes
4	01.22	2025	Teelt van tropisch en subtropisch fruit	Culture de fruits tropicaux et subtropicaux	Anbau von tropischen und subtropischen Früchten	Growing of tropical and subtropical fruits
5	01.220	2025	Teelt van tropisch en subtropisch fruit	Culture de fruits tropicaux et subtropicaux	Anbau von tropischen und subtropischen Früchten	Growing of tropical and subtropical fruits
4	01.23	2025	Teelt van citrusvruchten	Culture d’agrumes	Anbau von Zitrusfrüchten	Growing of citrus fruits
5	01.230	2025	Teelt van citrusvruchten	Culture d’agrumes	Anbau von Zitrusfrüchten	Growing of citrus fruits
4	01.24	2025	Teelt van pit- en steenvruchten	Culture de fruits à pépins et à noyau	Anbau von Kern- und Steinobst	Growing of pome fruits and stone fruits
5	01.240	2025	Teelt van pit- en steenvruchten	Culture de fruits à pépins et à noyau	Anbau von Kern- und Steinobst	Growing of pome fruits and stone fruits
7	01.24001	2025	Fruitteelt : de teelt van appels, peren, abrikozen, kersen, perziken, enz.	Culture de fruits : pommes, poires, abricots, cerises, pêches, etc.	Anbau von Obst: Äpfel, Birnen, Aprikosen, Kirschen, Pfirsichen usw.	Growing of fruits: apples, pears, apricots, cherries, peaches, etc.
4	01.25	2025	Teelt van andere boomvruchten, kleinfruit en noten	Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque	Anbau von sonstigem Obst und Nüssen	Growing of other tree and bush fruits and nuts
5	01.250	2025	Teelt van andere boomvruchten, kleinfruit en noten	Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque	Anbau von sonstigem Obst und Nüssen	Growing of other tree and bush fruits and nuts
4	01.26	2025	Teelt van oliehoudende vruchten	Culture de fruits oléagineux	Anbau von ölhaltigen Früchten	Growing of oleaginous fruits
5	01.260	2025	Teelt van oliehoudende vruchten	Culture de fruits oléagineux	Anbau von ölhaltigen Früchten	Growing of oleaginous fruits
4	01.27	2025	Teelt van gewassen bestemd voor de vervaardiging van dranken	Culture de plantes à boissons	Anbau von Pflanzen zur Herstellung von Getränken	Growing of beverage crops
5	01.270	2025	Teelt van gewassen bestemd voor de vervaardiging van dranken	Culture de plantes à boissons	Anbau von Pflanzen zur Herstellung von Getränken	Growing of beverage crops
4	01.28	2025	Teelt van specerijgewassen en van aromatische en medicinale gewassen	Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques	Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke	Growing of spices, aromatic, drug and pharmaceutical crops
5	01.280	2025	Teelt van specerijgewassen en van aromatische en medicinale gewassen	Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques	Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke	Growing of spices, aromatic, drug and pharmaceutical crops
7	01.28001	2025	Kruidenteelt : kappers, venkelzaad, peterselie, kervel, dragon, marjolein, enz.	Culture de condiments : câpres, graines de fenouil, persil, cerfeuil, estragon, marjolaine, etc.	Gewürzmittelanbau: Kapern, Fenchelsamen, Petersilie, Kerbel, Estragon, Majoran usw.	Cultivation of herbs : capers, fennel seeds, parsley, chervil, tarragon, marjoram, etc.
7	01.28002	2025	Teelt van specerijgewassen : laurier, bazielkruid, anijs, koriander, komijn, kaneel, kruidnagel, muskaatnoot, gember, enz.	Culture de plantes pour épices : laurier, basilic, anis, coriandre, cumin, cannelle, clous de girofle, noix muscade, gingembre, etc.	Gewürzpflanzenanbau: Lorbeerbaum, Basilikum, Anis Koriander Kümmel, Zimt, Gewürznelke, Muskatnuß, Ingwer usw	Growing of plants for spicing: bay leaf, basil, anise, coriander, cumin, cinnamon, cloves, nutmeg, ginger, etc.
7	01.28003	2025	Teelt van geneeskrachtige planten en van planten gebruikt voor insecten- of parasietenbestrijding en dergelijke	Culture de plantes à usage pharmaceutique ou insecticide, parasiticide ou similaire	Anbau von Heilpflanzen oder von zur Herstellung von Insektiziden und Parasitiziden verwendeten Pflanzen oder dergleichen	Growing of plants for pharmaceutical purposes or insecticide, parasiticide or similar
4	01.29	2025	Teelt van andere meerjarige gewassen	Autres cultures permanentes	Anbau sonstiger mehrjähriger Pflanzen	Growing of other perennial crops
5	01.290	2025	Teelt van andere meerjarige gewassen	Autres cultures permanentes	Anbau sonstiger mehrjähriger Pflanzen	Growing of other perennial crops
7	01.29001	2025	Teelt van plantaardige producten voor vlechtwerk	Culture de végétaux pour la sparterie	Pflanzenanbau für Sparteriewaren	Growing of plants for plaiting
3	01.3	2025	Plantenvermeerdering	Reproduction de plantes	Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken	Plant propagation
4	01.30	2025	Plantenvermeerdering	Reproduction de plantes	Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken	Plant propagation
5	01.301	2025	Boomkwekerijen, muv bosboomkwekerijen	Exploitation de pépinières, sauf pépinières forestières	Baumschulen mit Ausnahme von Forstbaumschulen	Operation of tree nurseries, except forest nurseries
5	01.309	2025	Overige plantenvermeerdering	Autre reproduction de plantes	Sonstige Pflanzenvermehrung	Other plant propagation
7	01.30901	2025	Teelt van planten bestemd om te worden overgeplant en van sierplanten : struiken, heesters, sierbomen, bomen en plantgoed voor fruitaanplantingen, enz.	Culture de plantes destinées à la plantation et à l'ornementation : buissons, arbustes, plantes ornementales d'intérieur, arbres, etc.	Anbau von Pflanzen zum Umpflanzen und von Zierpflanzen: Sträucher, Ziersträucher u bäume, Bäume usw	Cultivation of plants for planting and ornamentation: bushes, shrubs, indoor ornamentals, trees, etc.
7	01.30902	2025	Teelt van graszoden	Culture de gazon en rouleaux	Anbau von Grasmatten	Growing of turf rolls
3	01.4	2025	Veeteelt	Production animale	Tierhaltung	Animal production
4	01.41	2025	Fokken en houden van melkvee	Élevage de vaches laitières	Haltung von Milchkühen	Raising of dairy cattle
5	01.410	2025	Fokken en houden van melkvee	Élevage de vaches laitières	Haltung von Milchkühen	Raising of dairy cattle
7	01.41001	2025	Fokken van melkvee	Élevage de vaches laitières	Zucht von Milchkühen	Raising of dairy cattle
7	01.41002	2025	Productie van niet-behandelde (rauwe) melk van koeien of buffels	Production de lait cru de vache ou de bufflonne	Produktion von Kuh- oder Büffelrohmilch	Production of cow or buffalo raw milk
4	01.42	2025	Fokken en houden van andere runderen en buffels	Élevage d’autres bovins et de buffles	Haltung von sonstigen Rindern	Raising of other cattle and buffaloes
5	01.420	2025	Fokken en houden van andere runderen en buffels	Élevage d’autres bovins et de buffles	Haltung von sonstigen Rindern	Raising of other cattle and buffaloes
4	01.43	2025	Fokken en houden van paarden en andere paardachtigen	Élevage de chevaux et d’autres équidés	Haltung von Pferden und Eseln	Raising of horses and other equines
5	01.430	2025	Fokken en houden van paarden en andere paardachtigen	Élevage de chevaux et d’autres équidés	Haltung von Pferden und Eseln	Raising of horses and other equines
4	01.44	2025	Fokken en houden van kamelen en andere kameelachtigen	Élevage de chameaux et d’autres camélidés	Haltung von Kamelen	Raising of camels and camelids
5	01.440	2025	Fokken en houden van kamelen en andere kameelachtigen	Élevage de chameaux et d’autres camélidés	Haltung von Kamelen	Raising of camels and camelids
4	01.45	2025	Fokken en houden van schapen en geiten	Élevage d’ovins et de caprins	Haltung von Schafen und Ziegen	Raising of sheep and goats
5	01.450	2025	Fokken en houden van schapen en geiten	Élevage d’ovins et de caprins	Haltung von Schafen und Ziegen	Raising of sheep and goats
7	01.45001	2025	Fokken van schapen en geiten	Elevage d'ovins et de caprins	Zucht von Schafen und Ziegen	Raising of sheep and goats
7	01.45002	2025	Productie van ruwe wol	Production de laine brute	Produktion von Rohwolle	Production of raw wool
7	01.45003	2025	Productie van rauwe schape- en geitemelk	Production de lait cru de brebis et de chèvre	Produktion von Schafs- und Ziegenrohmilch	Production of raw milk from sheep and goats
4	01.46	2025	Fokken en houden van varkens	Élevage de porcins	Haltung von Schweinen	Raising of swine and pigs
5	01.461	2025	Fokvarkenshouderijen	Élevage de porcs reproducteurs	Zucht von Zuchtschweinen	Raising of breeding pigs
7	01.46101	2025	Fokvarkenshouderijen, inclusief de fokkerijen van everzwijnen	Elevage de porcs reproducteurs, y compris l'élevage de sangliers	Zucht von Zuchtschweinen, einschließlich Wildschweinzucht	Raising of breeding pigs, including raising of boars
5	01.462	2025	Varkensvetmesterijen	Élevage de porcs à l'engrais	Mastschweinezucht	Raising of fattening pigs
7	01.46201	2025	Varkensvetmesterijen, inclusief de vetmesterijen voor derden	Elevage de porcs à l'engrais, y compris l'engraissement pour le compte de tiers	Mastschweinezucht einschließlich Mastschweinezucht für Dritte	Raising of fattening pigs, including fattening for third parties
4	01.47	2025	Fokken en houden van pluimvee	Élevage de volailles	Haltung von Geflügel	Raising of poultry
5	01.471	2025	Kippenkwekerijen	Elevage de poules	Hühnerzucht	Raising of hens
5	01.472	2025	Productie van eieren van pluimvee	Production d’œufs de volailles	Produktion von Geflügeleiern	Production of poultry eggs
5	01.479	2025	Pluimveehouderijen, muv kippenkwekerijen	Élevage d'autres volailles, sauf poules	Geflügelzucht, mit Ausnahme von Hühnern	Raising of other poultry, excluding hens
4	01.48	2025	Fokken en houden van andere dieren	Élevage d'autres animaux	Sonstige Tierhaltung	Raising of other animals
5	01.480	2025	Fokken en houden van andere dieren	Élevage d'autres animaux	Sonstige Tierhaltung	Raising of other animals
7	01.48001	2025	Bijenteelt en de productie van honing en bijenwas	Elevage d'abeilles et la production de miel et de cire d'abeilles	Imkerei sowie Herstellung von Honig und Bienenwachs	Raising of bees, production of honey and beeswax
7	01.48002	2025	Fokken van konijnen	Elevage de lapins	Zucht von Kaninchen	Raising of rabbits
7	01.48003	2025	Fokken van huisdieren (met uitzondering van vissen)	Elevage d'animaux domestiques (à l'exception des poissons)	Zucht von Haustieren (mit Ausnahme von Fischen)	Raising of pets (excluding fish)
7	01.48004	2025	Fokken van pelsdieren	Elevage d'animaux à fourrure	Zucht von Pelztieren	Raising of fur animals
7	01.48005	2025	Fokken van wild in kwekerijen	Elevage de gibier dans les fermes d'élevage	Zucht von Wild in Zuchtbetrieben	Raising of game in farms
7	01.48006	2025	Kweken van huisjesslakken (escargots)	Elevage d'escargots	Schneckenzucht	Breeding of snails
7	01.48007	2025	Fokken van andere dieren, n.e.g.	Elevage d'autres animaux n.c.a.	Zucht von anderen Tieren a.n.g.	Raising of other animals n.e.c.
3	01.5	2025	Gemengd landbouwbedrijf	Culture et élevage associés	Gemischte Landwirtschaft	Mixed farming
4	01.50	2025	Gemengd landbouwbedrijf	Culture et élevage associés	Gemischte Landwirtschaft	Mixed farming
5	01.500	2025	Gemengd landbouwbedrijf	Culture et élevage associés	Gemischte Landwirtschaft	Mixed farming
7	01.50001	2025	Teelt van gewassen in combinatie met het fokken van vee, voor zover de omzet voor elk van de afzonderlijke activiteiten minder dan 2/3 van de totale omzet bedraagt	Culture associée à l'élevage de bétail, pour autant que le chiffre d'affaires d'une de ces deux activités n'atteigne pas les 2/3 du chiffre d'affaires total	Anbau von Pflanzen, vorausgesetzt, dass der Umsatz aus einer der beiden Tätigkeiten weniger als 2/3 des gesamten Umsatzes beträgt	Growing of plants associated with livestock breeding, as long as the turnover of one of these two activities is less than two thirds of the total turnover
3	01.6	2025	Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst	Activités de soutien à l’agriculture et traitement primaire des récoltes	Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten	Support activities to agriculture and post-harvest crop activities
4	01.61	2025	Ondersteunende activiteiten in verband met de teelt van gewassen	Activités de soutien aux cultures	Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau	Support activities for crop production
5	01.610	2025	Ondersteunende activiteiten in verband met de teelt van gewassen	Activités de soutien aux cultures	Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau	Support activities for crop production
7	01.61001	2025	Voorbereiden van landbouwvelden	Préparation des terres	Vorbereitung der Ackerböden	Land preparation
7	01.61002	2025	Opzetten van een teelt	Création de cultures	Anbau von Kulturen	Creating cultures
7	01.61003	2025	Besproeien van gewassen ook vanuit de lucht	Pulvérisation des récoltes, y compris par voie aérienne	Besprühen von Pflanzen, einschließlich aus der Luft	Crop spraying, including by air
7	01.61004	2025	Snoeien van fruitbomen en wijnstokken	Taille des arbres fruitiers et des vignes	Obstbäumeschnitt und Rebenschnitt	Fruit trees and vines pruning
7	01.61005	2025	Overplanten van rijst en uitdunnen van bieten	Transplantation du riz et démariage des betteraves	Umpflanzen von Reis und Ausdünnen von Rüben	Transplanting of rice, thinning of beets
7	01.61006	2025	Verhuur van landbouwmachines en -werktuigen met bedieningspersoneel	Location de machines et d'équipements agricoles avec opérateur	Vermietung von Landwirtschaftsmaschinen und geräten mit Bedienpersonal	Renting  of agricultural machinery and equipment with operator
7	01.61007	2025	Ongediertebestrijding (ook konijnen) mbt de landbouw	Lutte contre les animaux nuisibles (y compris les lapins) en relation avec l'agriculture	Schädlingsbekämpfung (einschließlich Kaninchien) im Bereich der Landwirtschaft	Pest control (including rabbits) related to agriculture
7	01.61008	2025	Exploitatie van irrigatiesystemen voor de landbouw	Exploitation de systèmes d'irrigation pour l'agriculture	Betrieb von Bewässerungssystemen für die Landwirtschaft	Operation of irrigation systems for agriculture
4	01.62	2025	Ondersteunende activiteiten in verband met de veeteelt	Activités de soutien à la production animale	Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung	Support activities for animal production
5	01.620	2025	Ondersteunende activiteiten in verband met de veeteelt	Activités de soutien à la production animale	Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung	Support activities for animal production
7	01.62001	2025	Kunstmatige inseminatie	Activités en rapport avec l'insémination artificielle	Tätigkeiten im Bereich der künstlichen Befruchtung	Activities related to artificial insemination
7	01.62002	2025	Scheren van schapen voor derden	Tonte d'ovins pour le compte de tiers	Schafschur für Dritte	Shearing sheep for third parties
7	01.62003	2025	Inspecteren van kuddes, drijven van vee, het laten weiden van andermans vee, het kapoenen van gevogelte, het reinigen van hokken	Services de conduite de troupeaux, services de paissance, services de nettoyage des poulaillers, etc.	Herdenüberwachung, Viehtreiben, Weiden lassen von fremdem Vieh, Kapaunisieren von Hähnen, Stallreinigung	Herds driving services, grazing services, hen houses cleaning services, etc.
7	01.62004	2025	Activiteit van hoefsmeden	Activités des maréchaux-ferrants	Hufschmiedetätigkeiten	Farriers activities
4	01.63	2025	Behandeling van gewassen na de oogst en van zaden voor vermeerdering	Traitement primaire des récoltes et traitement des semences	Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung	Post-harvest crop activities and seed processing for propagation
5	01.630	2025	Behandeling van gewassen na de oogst en van zaden voor vermeerdering	Traitement primaire des récoltes et traitement des semences	Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung	Post-harvest crop activities and seed processing for propagation
